guide	gene	SUM149PT_T0	SUM149PT_T7_UT	SUM149PT_T7_OLA	CAPAN1_T0	CAPAN1_T7_UT	CAPAN1_T7_OLA
ERCC6_H_e15_120.3	ERCC6	293	242	85	327	485	599
ERCC6_H_e16_52.2	ERCC6	206	109	19	205	335	294
EZH1_e17_96.2	EZH1	29	4	0	53	30	20
EZH1_e17_96.3	EZH1	104	172	89	178	100	185
EZH1_e17_96.5	EZH1	811	909	1070	772	410	734
EZH1_e18_82.0	EZH1	512	670	644	614	423	811
EZH1_e18_82.1	EZH1	527	687	256	617	332	1394
EZH1_e19_81.0	EZH1	316	424	281	344	180	694
EZH1_e19_81.1	EZH1	140	218	72	154	98	40
EZH1_e20_85.1	EZH1	813	806	778	899	799	1246
EZH1_e20_85.2	EZH1	477	250	465	500	550	605
EZH1_e20_85.7	EZH1	639	952	366	812	403	917
EZH2_e16_96.1	EZH2	252	40	101	274	119	276
EZH2_e16_96.2	EZH2	248	37	219	412	275	296
EZH2_e16_96.8	EZH2	388	75	34	494	282	453
EZH2_e19_85.3	EZH2	146	143	129	171	175	386
EZH2_SET_e17_82.0	EZH2	0	0	0	0	0	0
EZH2_SET_e18_81.0	EZH2	0	0	0	0	0	0
EZH2_SET_e18_81.1	EZH2	0	0	0	0	0	0
GCN5_e11_127.10	GCN5	285	81	52	316	269	294
GCN5_e11_127.16	GCN5	505	150	327	581	52	194
GCN5_e11_127.5	GCN5	392	116	86	669	105	355
GCN5_e12_59.0	GCN5	894	248	302	721	458	591
GCN5_e12_59.1	GCN5	544	165	291	301	153	467
GCN5_e12_59.4	GCN5	388	263	48	593	506	178
GTF3C4_e3_131.0	GTF3C4	444	69	48	552	14	190
GTF3C4_e3_131.3	GTF3C4	522	0	0	431	399	227
GTF3C4_e3_131.4	GTF3C4	54	0	0	34	38	14
GTF3C4_e4_89.2	GTF3C4	366	13	22	376	126	97
GTF3C4_e4_89.5	GTF3C4	268	42	0	370	249	357
GTF3C4_e4_89.6	GTF3C4	252	0	0	207	154	142
HAT1_e3_76.0	HAT1	430	652	889	589	332	767
HAT1_e3_76.1	HAT1	179	287	515	281	160	462
HAT1_e3_76.3	HAT1	199	212	216	299	99	489
HAT1_e4_121.2	HAT1	282	410	145	473	231	1053
HAT1_e4_121.4	HAT1	243	103	186	267	359	656
HAT1_e4_121.5	HAT1	254	204	97	410	504	1249
HAT1_e5_180.0	HAT1	513	542	897	776	598	1852
HAT1_e5_180.4	HAT1	654	554	849	640	368	1112
HAT1_e5_180.9	HAT1	271	233	240	235	138	611
HAT1_e6_73.0	HAT1	484	382	534	461	707	910
HAT1_e6_73.1	HAT1	610	1053	1372	953	890	1087
HBO1_e13_147.4	HBO1	218	91	298	232	233	573
HBO1_e14_107.2	HBO1	370	271	75	330	283	303
HBO1_e14_107.4	HBO1	281	725	112	322	197	991
HBO1_e9_192.3	HBO1	440	258	316	397	184	450
HBO1_e9_192.8	HBO1	124	135	261	203	144	147
HDAC1_e2_113.6	HDAC1	525	778	771	687	628	1120
HDAC1_e3_118.4	HDAC1	124	139	130	181	321	363
HDAC1_e4_75.0	HDAC1	384	112	59	342	270	614
HDAC1_e5_139.9	HDAC1	387	263	338	289	199	225
HDAC1_e6_142.2	HDAC1	348	302	123	252	302	162
